
A Phase II Study of BAY 43-9006 (Sorafenib) in Metastatic  Androgen-Independent Prostate Cancer(https://clinicaltrials.gov/show/NCT00090545)
 ,First Stage - Disease Progression,Second Stage - Increased Accrual
 ,The first stage was to rule out the probability of 4 month progression free survival. Patients were given 400 mg BAY 43-9006 orally twice daily in 28 day cycles.,Due to prostatic specific antigen and radiographic discordance during the first stage the protocol was amended to allow accrual to a second stage. 400 mg BAY 43-9006 orally twice daily in 28 day cycles.
Total all-cause mortality,0/22 %0.0,1/24 %4.17
Total serious adverse events,2/22 %9.09,6/24 %25.0
Constipation,0/22 %0.0,1/24 %4.17
Dehydration,0/22 %0.0,1/24 %4.17
Death not associated with CTCAE term::Death NOS,0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Bladder (urinary),0/22 %0.0,1/24 %4.17
Infection with normal ANC or Grade 1 or 2 neutrophils::Lung (pneumonia),0/22 %0.0,1/24 %4.17
Hemoglobin,0/22 %0.0,2/24 %8.33
Pain::Back,0/22 %0.0,1/24 %4.17
Pain::Bone,0/22 %0.0,1/24 %4.17
Pain::Joint,0/22 %0.0,1/24 %4.17
Pain::Muscle,0/22 %0.0,1/24 %4.17
CNS cerebrovascular ischemia,0/22 %0.0,1/24 %4.17
Pain::Head/headache,0/22 %0.0,1/24 %4.17
Hypertension,1/22 %4.55,0/24 %0.0
Hypotension,1/22 %4.55,0/24 %0.0

BAY 43-9006 (Sorafenib) to Treat Relapsed Non-Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00098254)
 ,BAY 43-9006 (Sorafenib)
Arthralgia,2/93 %2.15
Back pain,3/93 %3.23
Bone pain,1/93 %1.08
Myalgia,6/93 %6.45
Neck pain,1/93 %1.08
Pain in extremity,1/93 %1.08
Dizziness,2/93 %2.15
Headache,2/93 %2.15
Confusion,1/93 %1.08
Insomnia,1/93 %1.08
Dyspnea,6/93 %6.45
Pneumonitis,1/93 %1.08
Respiratory tract hemorrhage,1/93 %1.08
Voice alteration,2/93 %2.15
Alopecia,2/93 %2.15
Hand-and-foot syndrome,4/93 %4.3
Rash acneiform,4/93 %4.3
Rash desquamating,2/93 %2.15
Skin disorder,1/93 %1.08
Skin ulceration,1/93 %1.08
Sweating,3/93 %3.23
Flushing,1/93 %1.08
Hemorrhage,1/93 %1.08
Hot flashes,1/93 %1.08
Hypotension,2/93 %2.15
Thrombosis,2/93 %2.15

Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer(https://clinicaltrials.gov/show/NCT00182689)
 ,Platinum Sensitive,Platinum Refractory
 
Total serious adverse events,6/38 %15.79,7/44 %15.91
Diarrhea,0/38 %0.0,1/44 %2.27
Heartburn/dyspepsia,1/38 %2.63,0/44 %0.0
Nausea,1/38 %2.63,0/44 %0.0
Pain - Abdomen NOS,0/38 %0.0,1/44 %2.27
Pancreatitis,0/38 %0.0,1/44 %2.27
Fatigue (asthenia lethargy malaise),1/38 %2.63,0/44 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils - Urinary tract NOS,0/38 %0.0,1/44 %2.27
AST SGOT (serum glutamic oxaloacetic transaminase),1/38 %2.63,0/44 %0.0
Lipase,0/38 %0.0,1/44 %2.27
Dehydration,0/38 %0.0,1/44 %2.27
Sodium serum-low (hyponatremia),1/38 %2.63,2/44 %4.55
Muscle weakness generalized or specific area (not due to neuropathy) - Whole body/generalized,0/38 %0.0,1/44 %2.27
Pain - Joint,1/38 %2.63,0/44 %0.0
Ataxia (incoordination),0/38 %0.0,1/44 %2.27
Dizziness,1/38 %2.63,0/44 %0.0
Neuropathy: motor,1/38 %2.63,0/44 %0.0
Neuropathy: sensory,1/38 %2.63,0/44 %0.0
Pain - Head/headache,1/38 %2.63,0/44 %0.0
Speech impairment (e.g. dysphasia or aphasia),0/38 %0.0,1/44 %2.27
Syncope (fainting),1/38 %2.63,0/44 %0.0
Tremor,1/38 %2.63,0/44 %0.0
Confusion,1/38 %2.63,2/44 %4.55
Dyspnea (shortness of breath),1/38 %2.63,0/44 %0.0
Pleural effusion (non-malignant),0/38 %0.0,1/44 %2.27
Hypertension,1/38 %2.63,0/44 %0.0

Sorafenib and Anastrozole in Treating Postmenopausal Women With Metastatic Breast Cancer(https://clinicaltrials.gov/show/NCT00217399)
 ,Sorafenib and Anastrozole
 ,A single arm of 35 patients with advanced or metastatic breast cancer receiving a combination of sorafenib and anastrozole.
Total serious adverse events,12/35 %34.29
hand-foot syndome,12/35 %34.29

S0505 Sorafenib in Treating Patients With Advanced Soft Tissue Sarcomas(https://clinicaltrials.gov/show/NCT00217620)
 ,Sorafenib (BAY 43-9006)
 ,Sorafenib (BAY 43-9006) 800 mg per day divided into two equal doses of 400 mg by mouth (PO). Patients received the drug continuously on a daily basis until progression; each cycle is 28 days. All eligible patients who received treatment were included in baseline measures.
Total serious adverse events,10/37 %27.03
Hemoglobin,1/37 %2.7
Constipation,1/37 %2.7
Hemorrhage GI - Colon,1/37 %2.7
Nausea,1/37 %2.7
Pain - Abdomen NOS,3/37 %8.11
Pancreatitis,1/37 %2.7
Pain - Chest/thorax NOS,1/37 %2.7
AST SGOT,1/37 %2.7
Amylase,1/37 %2.7
Lipase,2/37 %5.41
Platelets,1/37 %2.7
Anorexia,1/37 %2.7
Calcium serum-low (hypocalcemia),1/37 %2.7
Potassium serum-low (hypokalemia),1/37 %2.7
Sodium serum-low (hyponatremia),1/37 %2.7
Death - Disease progression NOS,2/37 %5.41
Mental status,1/37 %2.7
Neuropathy: motor,1/37 %2.7
Syncope (fainting),1/37 %2.7
Obstruction GU - Ureter,1/37 %2.7
Dyspnea (shortness of breath),1/37 %2.7
Hypotension,1/37 %2.7

Sorafenib With Either Temsirolimus or Tipifarnib in Treating Patients With Stage IV Malignant Melanoma That Cannot Be Removed By Surgery(https://clinicaltrials.gov/show/NCT00281957)
 ,Arm I,Arm II
 ,Sorafenib and Temsirolimu,Sorafenib and Tipifarnib
Total serious adverse events,13/63 %20.63,6/39 %15.38
Hemoglobin,1/63 %1.59,0/39 %0.0
Left ventricular systolic dysfunction,1/63 %1.59,0/39 %0.0
Ileus GI (functional obstruction of bowel i.e. neuroconstipation),1/63 %1.59,0/39 %0.0
Nausea,1/63 %1.59,0/39 %0.0
Pain - Abdomen NOS,1/63 %1.59,0/39 %0.0
Pancreatitis,1/63 %1.59,1/39 %2.56
Vomiting,2/63 %3.17,0/39 %0.0
Fatigue (asthenia lethargy malaise),1/63 %1.59,0/39 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils - Nose,1/63 %1.59,0/39 %0.0
Infection with normal ANC or Grade 1 or 2 neutrophils - Skin (cellulitis),1/63 %1.59,0/39 %0.0
Amylase,0/63 %0.0,1/39 %2.56
Lipase,0/63 %0.0,1/39 %2.56
Albumin serum-low (hypoalbuminemia),1/63 %1.59,0/39 %0.0
Calcium serum-low (hypocalcemia),1/63 %1.59,0/39 %0.0
Dehydration,2/63 %3.17,0/39 %0.0
Glucose serum-high (hyperglycemia),1/63 %1.59,0/39 %0.0
Phosphate serum-low (hypophosphatemia),2/63 %3.17,0/39 %0.0
Potassium serum-low (hypokalemia),2/63 %3.17,0/39 %0.0
Muscle weakness generalized or specific area (not due to neuropathy) - Whole body/generalized,2/63 %3.17,1/39 %2.56
Pain - Back,0/63 %0.0,1/39 %2.56
Pain - Joint,1/63 %1.59,0/39 %0.0
Neurology-Other (Specify),1/63 %1.59,0/39 %0.0
Neuropathy: motor,0/63 %0.0,1/39 %2.56
Pain - Head/headache,1/63 %1.59,0/39 %0.0
Confusion,1/63 %1.59,0/39 %0.0
Renal failure,1/63 %1.59,0/39 %0.0
Pneumonitis/pulmonary infiltrates,2/63 %3.17,0/39 %0.0
Pulmonary/Upper Respiratory-Other (Specify),1/63 %1.59,0/39 %0.0
Pruritus/itching,1/63 %1.59,0/39 %0.0
Rash/desquamation,1/63 %1.59,0/39 %0.0
Flushing,1/63 %1.59,0/39 %0.0
Hypertension,1/63 %1.59,1/39 %2.56
Thrombosis/thrombus/embolism,0/63 %0.0,1/39 %2.56

BAY 43-9006 Plus Cetuximab to Treat Colorectal Cancer(https://clinicaltrials.gov/show/NCT00326495)
 ,BAY 43-9006 & Cetuximab
 ,BAY 43-9006: Administered orally at a dose of 400 mg twice a day (BID) BAY 43-9006: is a potent inhibitor of proto-oncogene c-Raf (c-raf) and wild-type and mutant proto-oncogene b-Raf (b-raf) in vitro. Cetuximab will be given intravenously (IV) at a dose of 400 mg/m^2 initially as a loading dose on week 2 followed by 250 mg/m^2 weekly starting on week 3. Cetuximab is a recombinant human/mouse chimeric monoclonal antibody which binds specifically to the extracellular domain of the epidermal growth factor receptor (epidermal growth factor receptor (EGFR) human epidermal growth factor receptor 1 (HER1) c-ErbB) in normal and tumor cells and competitively inhibits the binding of epidermal growth factor (EGF) and other ligands such as transforming growth factor-alpha.
Total all-cause mortality,2/50 %4.0
Total serious adverse events,22/50 %44.0
Anemia,2/50 %4.0
Abdominal distension,2/50 %4.0
Dehydration,1/50 %2.0
Diarrhea,1/50 %2.0
Duodenal obstruction,1/50 %2.0
Ileus,1/50 %2.0
Nausea,1/50 %2.0
Rectal hemorrhage,1/50 %2.0
Small intestinal obstruction,6/50 %12.0
Vomiting,2/50 %4.0
Chills,1/50 %2.0
Death NOS,2/50 %4.0
Fever,5/50 %10.0
Pain,1/50 %2.0
Anaphylaxis,1/50 %2.0
Bladder infection,2/50 %4.0
Catheter related infection,1/50 %2.0
Tooth infection,1/50 %2.0
Urinary tract infection,1/50 %2.0
Wound infection,1/50 %2.0
Blood bilirubin increased,1/50 %2.0
Lipase increased,1/50 %2.0
Hypokalemia,1/50 %2.0
Hyponatremia,1/50 %2.0
Back pain,1/50 %2.0
Headache,2/50 %4.0
Ischemia cerebrovascular,1/50 %2.0
Movements involuntary,1/50 %2.0
Hematuria,1/50 %2.0
Urinary tract obstruction,1/50 %2.0
Vaginal hemorrhage,1/50 %2.0

Sunitinib Malate or Sorafenib Tosylate in Treating Patients With Kidney Cancer That Was Removed By Surgery(https://clinicaltrials.gov/show/NCT00326898)
 ,Arm A (Sunitinib + Sorafenib Placebo),Arm B (Sorafenib + Sunitinib Placebo),Arm C (Sunitinib Placebo + Sorafenib Placebo)
 ,Beginning 4-12 weeks following radical or partial nephrectomy patients receive sunitinib malate 37.5mg PO QD for 4 weeks and placebo sorafenib tosylate 400mg PO QD or BID for 6 weeks.,Beginning 4-12 weeks following radical or partial nephrectomy patients receive sorafenib tosylate 400mg PO QD or BID for 6 weeks and placebo sunitinib malate 37.5mg PO QD for 4 weeks followed.,Beginning 4-12 weeks following radical or partial nephrectomy patients receive placebo sorafenib tosylate 400mg as in Arm A and placebo sunitinib malate 37.5mg as in Arm B.
Total serious adverse events,368/625 %58.88,424/628 %67.52,81/626 %12.94
Anemia,2/625 %0.32,1/628 %0.16,0/626 %0.0
Thrombotic microangiopathy,1/625 %0.16,0/628 %0.0,0/626 %0.0
Febrile neutropenia,2/625 %0.32,0/628 %0.0,0/626 %0.0
Heart block abnormality NOS,0/625 %0.0,0/628 %0.0,1/626 %0.16
Atrial fibrillation,1/625 %0.16,0/628 %0.0,2/626 %0.32
Atrial flutter,0/625 %0.0,0/628 %0.0,2/626 %0.32
Sinus bradycardia,1/625 %0.16,0/628 %0.0,0/626 %0.0
Supraventricular tachycardia,1/625 %0.16,0/628 %0.0,0/626 %0.0
Bigeminy,1/625 %0.16,0/628 %0.0,0/626 %0.0
Cardiac-ischemia,1/625 %0.16,3/628 %0.48,4/626 %0.64
Left ventricular systolic dysfunction,4/625 %0.64,4/628 %0.64,2/626 %0.32
Cor Pulmonale,0/625 %0.0,1/628 %0.16,0/626 %0.0
cardiac-other,0/625 %0.0,1/628 %0.16,0/626 %0.0
Cardiac/heart pain,2/625 %0.32,3/628 %0.48,0/626 %0.0
Hearing w/o audiogr not in monitor prg,1/625 %0.16,0/628 %0.0,0/626 %0.0
Adrenal insufficiency,0/625 %0.0,1/628 %0.16,0/626 %0.0
Hyopthyroidism,2/625 %0.32,0/628 %0.0,0/626 %0.0
Cataract,0/625 %0.0,0/628 %0.0,1/626 %0.16
Double vision,0/625 %0.0,0/628 %0.0,1/626 %0.16
Retinal detachment,1/625 %0.16,0/628 %0.0,0/626 %0.0
Ocular-other,0/625 %0.0,1/628 %0.16,0/626 %0.0
Colitis,0/625 %0.0,3/628 %0.48,0/626 %0.0
Constipation,1/625 %0.16,0/628 %0.0,0/626 %0.0
Diarrhea w/o prior colostomy,57/625 %9.12,55/628 %8.76,2/626 %0.32
Distention/bloating abdominal,0/625 %0.0,1/628 %0.16,0/626 %0.0
Esophagitis,0/625 %0.0,1/628 %0.16,0/626 %0.0
Gastritis,1/625 %0.16,1/628 %0.16,0/626 %0.0
Dyspepsia,14/625 %2.24,4/628 %0.64,1/626 %0.16
Ileus,0/625 %0.0,0/628 %0.0,1/626 %0.16
Muco/stomatitis by exam oral cavity,2/625 %0.32,0/628 %0.0,0/626 %0.0
Muco/stomatitis (symptom) oral cavity,3/625 %0.48,1/628 %0.16,0/626 %0.0
Nausea,22/625 %3.52,5/628 %0.8,0/626 %0.0
Perforation colon,0/625 %0.0,1/628 %0.16,0/626 %0.0
Vomiting,11/625 %1.76,3/628 %0.48,1/626 %0.16
Colon hemorrhage,2/625 %0.32,0/628 %0.0,0/626 %0.0
Lower GI hemorrhage NOS,0/625 %0.0,1/628 %0.16,0/626 %0.0
Stomach hemorrhage,1/625 %0.16,0/628 %0.0,0/626 %0.0
Pancreatitis,3/625 %0.48,1/628 %0.16,0/626 %0.0
Abdomen pain,4/625 %0.64,8/628 %1.27,2/626 %0.32
Esophagus pain,1/625 %0.16,0/628 %0.0,0/626 %0.0
Oral cavity pain,1/625 %0.16,1/628 %0.16,0/626 %0.0
Stomach pain,0/625 %0.0,1/628 %0.16,0/626 %0.0
Fatigue,108/625 %17.28,41/628 %6.53,15/626 %2.4
Fever w/o neutropenia,1/625 %0.16,2/628 %0.32,0/626 %0.0
Edema head and neck,3/625 %0.48,1/628 %0.16,0/626 %0.0
Edema limb,2/625 %0.32,0/628 %0.0,0/626 %0.0
Chest/thoracic pain NOS,4/625 %0.64,4/628 %0.64,0/626 %0.0
Pain-other,0/625 %0.0,1/628 %0.16,0/626 %0.0
Flu-like syndrome,3/625 %0.48,0/628 %0.0,0/626 %0.0
Cholecystitis,1/625 %0.16,0/628 %0.0,0/626 %0.0
Liver dysfunction/failure,1/625 %0.16,0/628 %0.0,0/626 %0.0
Hepatic-other,1/625 %0.16,0/628 %0.0,0/626 %0.0
Allergic reaction,1/625 %0.16,0/628 %0.0,0/626 %0.0
Infection w/ gr3-4 neut ileum,1/625 %0.16,0/628 %0.0,0/626 %0.0
Infection Gr0-2 neut appendix,0/625 %0.0,0/628 %0.0,1/626 %0.16
Infection Gr0-2 neut colon,0/625 %0.0,2/628 %0.32,0/626 %0.0
Infection Gr0-2 neut kidney,1/625 %0.16,1/628 %0.16,0/626 %0.0
Infection Gr0-2 neut lung,2/625 %0.32,3/628 %0.48,2/626 %0.32
Infection Gr0-2 neut mediastinm,0/625 %0.0,0/628 %0.0,1/626 %0.16
Infection Gr0-2 neut mucosa,0/625 %0.0,1/628 %0.16,0/626 %0.0
Infection Gr0-2 neut muscle,0/625 %0.0,1/628 %0.16,0/626 %0.0
Infection Gr0-2 neut nerve-cranial,1/625 %0.16,0/628 %0.0,0/626 %0.0
Infection Gr0-2 neut skin,0/625 %0.0,1/628 %0.16,0/626 %0.0
Infection Gr0-2 neut urinary tract,1/625 %0.16,0/628 %0.0,1/626 %0.16
Infection Gr0-2 neut vagina,1/625 %0.16,0/628 %0.0,0/626 %0.0
Infection Gr0-2 neut wound,0/625 %0.0,1/628 %0.16,0/626 %0.0
Infection w/ unk ANC skin (cellulitis),0/625 %0.0,2/628 %0.32,0/626 %0.0
Infection w/ unk ANC urinary tract NOS,0/625 %0.0,1/628 %0.16,0/626 %0.0
Infection Gr0-2 neut blood,1/625 %0.16,0/628 %0.0,0/626 %0.0
Infection-other,1/625 %0.16,1/628 %0.16,0/626 %0.0
Wound - non-infectious,0/625 %0.0,1/628 %0.16,0/626 %0.0
Vascular accessThrombosis/embolism,0/625 %0.0,1/628 %0.16,0/626 %0.0
Leukocytes decreased,3/625 %0.48,0/628 %0.0,0/626 %0.0
Neutrophils decreased,7/625 %1.12,2/628 %0.32,0/626 %0.0
Platelets decreased,13/625 %2.08,2/628 %0.32,1/626 %0.16
Weight gain,0/625 %0.0,0/628 %0.0,2/626 %0.32
Alanine aminotransferase increased,4/625 %0.64,4/628 %0.64,0/626 %0.0
Serum amylase increased,0/625 %0.0,1/628 %0.16,0/626 %0.0
Aspartate aminotransferase increased,6/625 %0.96,4/628 %0.64,0/626 %0.0
Blood bilirubin increased,1/625 %0.16,1/628 %0.16,1/626 %0.16
Hypercholesterolemia,1/625 %0.16,0/628 %0.0,0/626 %0.0
CPK increased,1/625 %0.16,1/628 %0.16,0/626 %0.0
Creatinine increased,1/625 %0.16,3/628 %0.48,0/626 %0.0
Lipase increased,4/625 %0.64,3/628 %0.48,1/626 %0.16
Anorexia,11/625 %1.76,5/628 %0.8,0/626 %0.0
Dehydration,10/625 %1.6,3/628 %0.48,0/626 %0.0
Hypoalbuminemia,1/625 %0.16,0/628 %0.0,0/626 %0.0
Hypocalcemia,1/625 %0.16,1/628 %0.16,0/626 %0.0
Hyperglycemia,0/625 %0.0,1/628 %0.16,1/626 %0.16
Hypophosphatemia,1/625 %0.16,1/628 %0.16,0/626 %0.0
Hyperkalemia,3/625 %0.48,1/628 %0.16,0/626 %0.0
Hypokalemia,2/625 %0.32,1/628 %0.16,0/626 %0.0
Hypernatremia,1/625 %0.16,0/628 %0.0,0/626 %0.0
Hyponatremia,1/625 %0.16,5/628 %0.8,4/626 %0.64
Hypertriglyceridemia,2/625 %0.32,0/628 %0.0,0/626 %0.0
Hyperuricemia,0/625 %0.0,1/628 %0.16,3/626 %0.48
Nonneuropathic upper extr muscle weak,1/625 %0.16,0/628 %0.0,0/626 %0.0
Nonneuropathic left-side muscle weak,0/625 %0.0,1/628 %0.16,0/626 %0.0
Nonneuropathic right-side muscle weak,0/625 %0.0,0/628 %0.0,1/626 %0.16
Nonneuropathic generalized weakness,1/625 %0.16,1/628 %0.16,1/626 %0.16
Myositis,1/625 %0.16,0/628 %0.0,0/626 %0.0
Musculoskeletal/soft tissue-other,0/625 %0.0,2/628 %0.32,0/626 %0.0
Back pain,1/625 %0.16,3/628 %0.48,0/626 %0.0
Bone pain,2/625 %0.32,1/628 %0.16,0/626 %0.0
Extremity-limb pain,4/625 %0.64,3/628 %0.48,0/626 %0.0
Joint pain,8/625 %1.28,8/628 %1.27,3/626 %0.48
Muscle pain,2/625 %0.32,8/628 %1.27,1/626 %0.16
Secondary malignancy,0/625 %0.0,1/628 %0.16,1/626 %0.16
Vasovagal episode,1/625 %0.16,0/628 %0.0,0/626 %0.0
Ataxia,0/625 %0.0,0/628 %0.0,1/626 %0.16
CNS cerebrovascular ischemia,4/625 %0.64,0/628 %0.0,1/626 %0.16
Cognitive disturbance,0/625 %0.0,1/628 %0.16,0/626 %0.0
Dizziness,4/625 %0.64,2/628 %0.32,2/626 %0.32
Memory impairment,1/625 %0.16,0/628 %0.0,1/626 %0.16
Neuropathy-motor,3/625 %0.48,1/628 %0.16,0/626 %0.0
Neuropathy-sensory,3/625 %0.48,12/628 %1.91,3/626 %0.48
Syncope,4/625 %0.64,2/628 %0.32,0/626 %0.0
Head/headache,6/625 %0.96,4/628 %0.64,0/626 %0.0
Insomnia,0/625 %0.0,4/628 %0.64,0/626 %0.0
Confusion,2/625 %0.32,0/628 %0.0,1/626 %0.16
Anxiety,0/625 %0.0,1/628 %0.16,0/626 %0.0
Depression,1/625 %0.16,2/628 %0.32,2/626 %0.32
Kidney hemorrhage,1/625 %0.16,0/628 %0.0,0/626 %0.0
Proteinuria,2/625 %0.32,2/628 %0.32,0/626 %0.0
Renal failure,6/625 %0.96,4/628 %0.64,0/626 %0.0
Renal/GU-other,0/625 %0.0,1/628 %0.16,0/626 %0.0
Sexual/Reproductive function-Other,0/625 %0.0,1/628 %0.16,0/626 %0.0
Pulmonary hypertension,0/625 %0.0,0/628 %0.0,1/626 %0.16
Muco/stomatitis (symptom) pharynx,24/625 %3.84,14/628 %2.23,0/626 %0.0
Nose hemorrhage,3/625 %0.48,0/628 %0.0,0/626 %0.0
Dyspnea,4/625 %0.64,4/628 %0.64,2/626 %0.32
