,title,descriptions
10055242,duodenal hemorrhage,
10013832,duodenal perforation,
D004381,duodenal ulcer,
D006330,heart abnormalities,
10055291,intra-abdominal hemorrhage,
10051746,lower gastrointestinal hemorrhage,
10028130,mucositis oral,
D009325,nausea,
D012003,rectal fistula,
10041101,small intestinal obstruction,
10041103,small intestinal perforation,
D014839,vomiting,
D023341,chills,
D005334,fever,
10062466,localized edema,
D002764,cholecystitis,
10017638,gallbladder pain,
D004066,hepatobiliary disease,
D006967,hypersensitivity,
10061351,pleural infection,
D011014,pneumonia,
D018805,sepsis,
10040872,skin infection,
10005364,blood bilirubin increased,
10011368,creatinine increased,
D007958,leukocyte count,
10025256,lymphocyte count decreased,
10029366,neutrophil count decreased,
D015430,weight gain,
D015431,weight loss,
D000471,alkalosis,
D000855,anorexia,
D001786,blood glucose,
D012709,serum albumin,
D002118,calcium,
D000255,adenylpyrophosphate,
D011188,potassium,
D012964,sodium,
D019547,neck pain,
10033425,pain in extremity,
D004244,dizziness,
D007319,insomnia,
D012137,respiratory tract,
10047681,voice alteration,
D000505,alopecia,
D060831,hand-foot syndrome,
10037847,rash acneiform,
D005076,rash,
D012871,skin and subcutaneous tissue disorders,
10040947,skin ulceration,
D013546,sweating,
D005483,flushing,
D006470,hemorrhage,
D019584,hot flashes,
D013927,thrombosis,
NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,
NCT00182689-1,Platinum Sensitive,Description: No description found
NCT00182689-2,Platinum Refractory,Description: No description found
D004415,dyspepsia,
D014552,urinary tract infections,
D001219,serum glutamic-oxaloacetic transaminase,
D008049,lipase,
D004039,diet low-sodium,
10062572,generalized muscle weakness,
D001259,ataxia,
D002607,hereditary type i motor and sensory neuropathy,
D013575,syncope,
D014202,tremor,
D016066,pleural effusion malignant,
NCT00217399,Sorafenib and Anastrozole in Treating Postmenopausal Women With Metastatic Breast Cancer,
NCT00217399-1,Sorafenib and Anastrozole,Description: A single arm of 35 patients with advanced or metastatic breast cancer receiving a combination of sorafenib and anastrozole.
NCT00217620,S0505 Sorafenib in Treating Patients With Advanced Soft Tissue Sarcomas,
NCT00217620-1,Sorafenib (BAY 43-9006),Description: Sorafenib (BAY 43-9006) 800 mg per day divided into two equal doses of 400 mg by mouth (PO). Patients received the drug continuously on a daily basis until progression; each cycle is 28 days. All eligible patients who received treatment were included in baseline measures.
D006471,gastrointestinal hemorrhage,
D002637,chest pain,
D000068258,avastin,
D000681,amylase,
D001792,platelets,
D016895,low-serum media,
D000073216,mental status and dementia tests,
D014517,ureteral obstruction,
NCT00281957,Sorafenib With Either Temsirolimus or Tipifarnib in Treating Patients With Stage IV Malignant Melanoma That Cannot Be Removed By Surgery,
NCT00281957-1,Arm I,Description: Sorafenib and Temsirolimu
NCT00281957-2,Arm II,Description: Sorafenib and Tipifarnib
10069501,left ventricular systolic dysfunction,
D000069544,encephalitis infection,
D003847,deoxyglucose,
D017674,hypophosphatemia,
D009462,neurology,
D051437,renal failure,
D011537,pruritus,
NCT00326495,BAY 43-9006 Plus Cetuximab to Treat Colorectal Cancer,
NCT00326495-1,BAY 43-9006 & Cetuximab,Description: BAY 43-9006: Administered orally at a dose of 400 mg twice a day (BID) BAY 43-9006: is a potent inhibitor of proto-oncogene c-Raf (c-raf) and wild-type and mutant proto-oncogene b-Raf (b-raf) in vitro. Cetuximab will be given intravenously (IV) at a dose of 400 mg/m^2 initially as a loading dose on week 2 followed by 250 mg/m^2 weekly starting on week 3. Cetuximab is a recombinant human/mouse chimeric monoclonal antibody which binds specifically to the extracellular domain of the epidermal growth factor receptor (epidermal growth factor receptor (EGFR) human epidermal growth factor receptor 1 (HER1) c-ErbB) in normal and tumor cells and competitively inhibits the binding of epidermal growth factor (EGF) and other ligands such as transforming growth factor-alpha.
D004380,duodenal obstruction,
D045823,ileus,
10038064,rectal hemorrhage,
D010146,pain,
D000707,anaphylaxis,
10007810,catheter related infection,
10048762,tooth infection,
D014946,wound infection,
D007008,hypokalemia,
10028041,movements involuntary,
D006417,hematuria,
10061574,urinary tract obstruction,
10046912,vaginal hemorrhage,
NCT00326898,Sunitinib Malate or Sorafenib Tosylate in Treating Patients With Kidney Cancer That Was Removed By Surgery,
NCT00326898-1,Arm A (Sunitinib + Sorafenib Placebo),Description: Beginning 4-12 weeks following radical or partial nephrectomy patients receive sunitinib malate 37.5mg PO QD for 4 weeks and placebo sorafenib tosylate 400mg PO QD or BID for 6 weeks.
NCT00326898-2,Arm B (Sorafenib + Sunitinib Placebo),Description: Beginning 4-12 weeks following radical or partial nephrectomy patients receive sorafenib tosylate 400mg PO QD or BID for 6 weeks and placebo sunitinib malate 37.5mg PO QD for 4 weeks followed.
NCT00326898-3,Arm C (Sunitinib Placebo + Sorafenib Placebo),Description: Beginning 4-12 weeks following radical or partial nephrectomy patients receive placebo sorafenib tosylate 400mg as in Arm A and placebo sunitinib malate 37.5mg as in Arm B.
D057049,thrombotic microangiopathy,
D064147,febrile neutropenia,
D006327,heart block,
D001281,atrial fibrillation,
D001282,atrial flutter,
10040741,sinus bradycardia,
D013617,supraventricular tachycardia,
UNKNOWN-check-for-typo,D00,
D007511,ischemia,
D011660,cor pulmonale,
10007541,cardiac disorders - other specify,
10008481,chest pain - cardiac,
D000079687,biomonitoring,
D000309,adrenal insufficiency,
D002386,cataract,
D004172,double vision,
D012163,retinal detachment,
D061351,binoculars,
D003092,colitis,
D000930,antidiarrheals,
10005265,bloating,
D004941,esophagitis,
D005756,gastritis,
D009090,mucorales,
10010001,colonic perforation,
10009998,colonic hemorrhage,
D000080867,gingipains,
D009055,oral cavity,
10042112,stomach pain,
10054482,neck edema,
D003057,progeria-like syndrome,
D008107,liver dysfunction,
D029626,hepatica,
10023424,kidney infection,
10065764,mucosal infection,
10065765,cranial nerve infection,
10046914,vaginal infection,
10021881,infections and infestations - other specify,
D000073296,noninfectious diseases,
D004617,embolism,
D007962,leukocytes,
D009504,neutrophils,
D006937,hypercholesterolemia,
10011268,cpk increased,
D006996,hypocalcemia,
D006943,hyperglycemia,
D006947,hyperkalemia,
D006955,hypernatremia,
D015228,hypertriglyceridemia,
10065895,muscle weakness upper limb,
10065780,muscle weakness left-sided,
10065794,muscle weakness right-sided,
D009220,myositis,
D012509,sarcoma soft tissue,
D010591,phantom limb pain,
10049737,treatment related secondary malignancy,
10009845,cognitive disturbance,
10027175,memory impairment,
D003027,cluster headache,
D001007,anxiety,
D003863,depression,
D011507,proteinuria,
D000071477,gubernaculum,
D020018,psychosexual dysfunctions,
D006976,pulmonary hypertension,
D000111,solmucol,
D000068884,immunosenescence,
D004401,dysarthria,
10013786,dry skin,
10028689,nail changes,
D004892,erythema multiforme,
D014581,urticaria,
10049120,scalp pain,
10033474,pain of skin,
10047065,vascular disorders - other specify,
NCT00329641,Sorafenib  Carboplatin  and Paclitaxel in Treating Patients With Stage IV Melanoma of the Eye,
NCT00329641-1,Intervention,Description: Sorafenib Carboplatin Paclitaxel
D006098,granulocytes,
NCT00330421,Sorafenib in Treating Patients With Soft Tissue Sarcomas (Extremity Sarcoma Closed to Entry as of 5/30/07),
NCT00330421-1,Group II (Metastatic or Inoperable Sarcomas),Description: Patients receive oral sorafenib twice daily on days 1-28. Treatment repeats every 28 days for 2 courses. Patients with responding or stable disease may continue sorafenib in the absence of disease progression or unacceptable toxicity. Biopsy tissue and blood samples are examined for biomarkers and IFP is measured at baseline and on days 28 and 56. laboratory biomarker analysis : Correlative studies sorafenib tosylate : Given PO pharmacological study : Correlative studies computed tomography : Correlative studies dynamic contrast-enhanced magnetic resonance imaging : Correlative studies
D006401,hematologic agents,
D000469,alkaline phosphatase,
D000009,cremaster muscle,
NCT00335764,Sorafenib Combined With Erlotinib  Tipifarnib  or Temsirolimus in Treating Patients With Recurrent Glioblastoma Multiforme or Gliosarcoma,
NCT00335764-1,Group 1 Phase I Sorafenib and Erlotinib,Description: Patients receive oral sorafenib tosylate twice daily and oral erlotinib hydrochloride once daily on days 1-28. sorafenib tosylate: given orally erlotinib hydrochloride: given orally
NCT00335764-2,Group 2 Phase I Sorafenib and Temsirolimus,Description: Patients receive sorafenib tosylate as in group 2. Patients also receive temsirolimus IV over 30 minutes on days 1 8 15 and 22. sorafenib tosylate: given orally temsirolimus: IV administration
NCT00335764-3,Group 3 Phase I Sorafenib and Tipifarnib,Description: Patients receive sorafenib tosylate as in group 3. Patients also receive oral tipifarnib twice daily on days 1-21. sorafenib tosylate: given orally tipifarnib: given orally
NCT00335764-4,Group 1 Phase II Sorafenib and Erlotinib,Description: Patients receive oral sorafenib tosylate twice daily and oral erlotinib hydrochloride once daily on days 1-28. sorafenib tosylate: given orally erlotinib hydrochloride: given orally
NCT00335764-5,Group 2 Phase II Sorafenib and Temsirolimus,Description: Patients receive sorafenib tosylate 400 mg BID as in group 2. Patients also receive temsirolimus IV 25 mg over 30 minutes on days 1 8 15 and 22. sorafenib tosylate: given orally temsirolimus: IV administration
D001927,encephalopathy,
D012640,seizure,
10043565,thromboembolic event,
NCT00390325,Sorafenib Tosylate in Treating Patients With Metastatic  Locally Advanced  or Recurrent Medullary Thyroid Cancer,
NCT00390325-1,Arm A (Hereditary MTC) and Arm B (Sporadic MTC),Description: Arm A: Sorafenib (BAY 43-9006) was administered at the dose of 400 mg orally twice a day on a continuous basis. Arm B: Sorafenib (BAY 43-9006) was administered at the dose of 400 mg orally twice a day on a continuous basis.
D006342,cardiac rupture post-infarction,
D007239,infection,
NCT00390611,Paclitaxel and Carboplatin With Or Without Sorafenib In The First-Line Treatment Of Patients With Ovarian Cancer,
NCT00390611-1,Paclitaxel/Carboplatin/Sorafenib,Description: Paclitaxel 175 mg/m2 1-3 hour IV infusion Day 1 Carboplatin AUC 6 infused over 20 minutes IV Day 1 Sorafenib 400mg PO bid Sorafenib Paclitaxel: Paclitaxel Carboplatin: Carboplatin
NCT00390611-2,Paclitaxel/Carboplatin,Description: Paclitaxel 175 mg/m2 1-3 hour IV infusion Day 1 Carboplatin AUC 6 infused over 20 minutes IV Paclitaxel: Paclitaxel Carboplatin: Carboplatin
10055356,upper gastrointestinal hemorrhage,
10018065,general disorders and administration site conditions - other specify,
10051792,infusion related reaction,
D010198,pancytopenia,
D009748,nutrition disorders,
D010996,pleural effusion,
NCT00436215,Sorafenib and Bevacizumab to Treat Ovarian  Fallopian and Peritoneal Cancer,
NCT00436215-1,BAY 43-9006 + Bevacizumab,Description: BAY 43-9006 (sorafenib) + Bevacizumab Bevacizumab: bevacizumab 5 mg/kg intravenous (IV) every two weeks BAY 43-9006: BAY 43-9006 200 mg po (by mouth) twice daily 5 out of 7 days each week (Mon-Fri)
D010490,pericardial effusion,
10017947,gastrointestinal disorders - other specify,
10029957,obstruction gastric,
D002779,bile duct obstruction,
10065761,cecal infection,
10062169,vascular access complication,
NCT00454194,Pemetrexed Disodium With or Without Sorafenib as Second-Line Therapy in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer,
NCT00454194-1,Arm I (Pemetrexed + Sorafenib),Description: Patients receive oral sorafenib tosylate twice daily on days 1-21 and pemetrexed disodium IV over 10 minutes on day 1.
NCT00454194-2,Arm II (Pemetrexed),Description: Patients receive pemetrexed disodium IV over 10 minutes on day 1.
10008496,chest wall pain,
NCT00474786,Temsirolimus Versus Sorafenib As Second-Line Therapy In Patients With Advanced RCC Who Have Failed First-Line Sunitinib,
NCT00474786-1,Temsirolimus,Description: Temsirolimus 25 milligrams (mg) once weekly by intravenous (IV) infusion administered in 6 week cycles for up to 24 months participants were premedicated with 25-50 mg IV diphenydramine 30 minutes before temsirolimus infusion. In event of toxicity dose could be modified or held according to the protocol or at the discretion of the investigator.
NCT00474786-2,Sorafenib,Description: Sorafenib 400 mg (two 200 mg tablets) by mouth (PO) twice daily (BID) administered in 6 week cycles for up to 24 months. In event of toxicity dose could be modified or held according to the protocol or at the discretion of the investigator.
D000741,aplastic anaemia,
D013921,thrombocytopenia,
D056988,acute anterior wall myocardial infarction,
D006323,cardiac arrest,
D002305,cardiac tamponade,
D000072599,cardiorespiratory fitness,
D000028,abortion failure,
D009203,myocardial infarction,
D000071956,myocardial contusions,
10033557,palpitations,
D000788,prinzmetal angina,
D006980,hyperthyroidism,
D000081015,ototoxicity,
D015356,retinal artery occlusion,
D003680,dysphagia,
D000069196,gastrointestinal microbiome,
D003965,diaphragmatic eventration,
D006551,hiatus hernia,
D007415,intestinal obstruction,
D007416,intestinal perforation,
D007420,intestine large,
D000071041,oesophageal mucosa,
D000071056,anorectal malformations,
D012469,salivary glands,
D013280,stomatitis,
D001247,asthenia,
D003695,healthcare,
D000799,angioedema,
D017567,karnofsky performance status,
D018746,systemic inflammatory response syndrome,
D041881,acute cholecystitis,
D042882,gallstones common bile duct,
10017636,gallbladder obstruction,
D004342,drug hypersensitivity,
10056519,abdominal infection,
D000038,abscess,
D001991,bronchitis,
D035441,chest wall,
D008105,cholangitis chronic nonsuppurative destructive,
10064687,device related infection,
D006509,hepatitis b,
D006562,herpes zoster,
D010612,pharyngitis,
D011020,pneumocystis jirovecii pneumonia,
D001996,bronchopneumonia,
D014397,pulmonary tuberculosis,
D012772,septic shock,
10040047,sepsis,
D050815,compression fracture,
10020100,hip fracture,
D006811,humerus,
D008022,ligaments,
D015775,microfractures,
D062787,drug overdose,
D000069475,reirradiation,
D000939,antigenic specificity,
D013851,underweight,
D002100,cachexia,
D001066,appetite,
D003920,diabetes mellitus,
D044342,malnutrition,
D000077553,edarabone,
D021501,flank pain,
D007403,intervertebral disc,
D059352,musculoskeletal pain,
D010014,osteolysis,
D005598,pathological fracture,
D013118,spinal cord disorders,
D002294,squamous cell carcinoma,
D002544,cerebral infarction,
D000070624,cerebral contusion,
D020521,cerebrovascular accident,
D008569,retention disorders cognitive,
10034580,peripheral motor neuropathy,
D013117,spinal cord compression,
D000080762,stimuli responsive polymers,
D000081013,completed suicide,
D009404,nephrotic syndrome,
D058186,acute renal failure,
D000141,acidosis renal tubular,
D016055,urinary retention,
D007917,leprostatics,
D013224,asthmatic crisis,
D004844,epistaxis,
D017563,interstitial lung disease,
D008168,lung,
10035623,pleuritic pain,
D011655,pulmonary embolism,
D019390,arrestins,
D012127,respiratory distress syndrome newborn,
D012131,respiratory failure,
10037868,rash maculo-papular,
D004864,medical devices,
D000074042,cerebral intraventricular haemorrhage,
NCT00474929,Sorafenib and Everolimus in Treating Patients With Relapsed or Refractory Lymphoma or Multiple Myeloma,
NCT00474929-1,Phase I Dose Level 0,Description: Phase I: Dose level 0: Sorafenib 200 mg twice daily RAD001 5mg every other day
NCT00474929-2,Phase I Dose Level 1,Description: Phase I: Dose level 1: Sorafenib 200 mg twice daily RAD001 5mg every day
NCT00474929-3,Phase I Dose Level 2,Description: Phase I: Dose level 2: Sorafenib 400 mg twice daily RAD001 5mg every day
NCT00474929-4,Phase I Dose Level 3,Description: Phase I: Dose level 3: Sorafenib 400 mg twice daily RAD001 10mg every day
NCT00474929-5,Phase II,Description: Phase II: Sorafenib 200 mg twice daily RAD001 5mg every day;
D006331,cardiac diseases,
10058838,enterocolitis infectious,
10045158,tumor pain,
NCT00565370,Capecitabine and Cisplatin (XP)+Sorafenib in Advanced Gastric Cancer (AGC): Sorafenib+XP,
NCT00565370-1,XP Plus Sorafenib,Description: Capecitabine and cisplatin plus sorafenib
D020246,deep vein thrombosis,
10017815,gastric perforation,
NCT00573755,Sorafenib and Letrozole  Anastrozole  or Exemestane in Treating Postmenopausal Women With Estrogen Receptor-Positive and/or Progesterone Receptor-Positive Metastatic Breast Cancer,
NCT00573755-1,Sorafenib Plus Aromatase Inhibitor,Description: Patients receive oral sorafenib tosylate twice daily and oral letrozole anastrozole or exemestane once daily on days 1-28. Treatment repeats every 28 days in the absence of disease progression or unacceptable toxicity.
NCT00573755-2,Placebo Plus Aromatase Inhibitor,Description: Patients receive oral placebo twice daily and oral letrozole anastrozole or exemestane once daily on days 1-28. Treatment repeats every 28 days in the absence of disease progression or unacceptable toxicity.
D018908,muscle weakness,
NCT00609804,Sorafenib and Erlotinib or Sorafenib Alone in Advanced Non-Small Cell Lung Cancer Progressing on Erlotinib,
NCT00609804-1,Sorafenib+Erlotinib,Description: Sorafenib and Erlotinib: Sorafenib 400 mg twice daily by mouth Erlotinib 150 mg once daily by mouth Study treatment will be given in cycles of 28 days. Patients will be re-staged every 2 treatment cycles (every 8 weeks). Patients with an objective response or stable disease will continue study treatment. Patients will continue until disease progression or intolerable toxicity occurs.
NCT00609804-2,Sorafenib,Description: Sorafenib: Sorafenib 400 mg twice daily by mouth. Study treatment will be given in cycles of 28 days. Patients will be re-staged every 2 treatment cycles (every 8 weeks). Patients with an objective response or stable disease will continue study treatment. Patients will continue until disease progression or intolerable toxicity occurs.
D006333,heart failure,
10062501,non-cardiac chest pain,
D020300,intracranial hemorrhage,
10034719,personality change,
10038738,respiratory thoracic and mediastinal disorders - other specify,
NCT00632541,A Phase II Study of Bevacizumab + Sorafenib in Metastatic Breast Cancer,
NCT00632541-1,Single Arm A,Description: Sorafenib 200mg po daily Bevacizumab 5mg/kg every other week 1 Cycle = 4 weeks. Imaging every third cycle
D000068757,ononis,
NCT00647426,Phase II Study of Sorafenib + Carboplatin and Docetaxel in First Line Treatment of Stage IIIB/IV NSCLC,
NCT00647426-1,Sorafenib + Docetaxel,Description: 400 mg po BID Sorafenib + 75 mg/m2 IV Docetaxel on day 1 plus AUC 6 on Carboplatin on day 1 of each 21 day cycle Sorafenib + Docetaxel/Carboplatin: 400 mg po BID Sorafenib + 75 mg/m2 IV Docetaxel on day 1 plus AUC 6 on Carboplatin on day 1 of each 21 day cycle
NCT00678392,Axitinib (AG 013736) As Second Line Therapy For Metastatic Renal Cell Cancer,
NCT00678392-1,Axitinib 5 mg,Description: Axitinib (AG-013736) 5 milligram (mg) tablet administered orally twice daily in cycles of 4 weeks.
NCT00678392-2,Sorafenib 400 mg,Description: Sorafenib 400 mg tablet administered orally twice daily in cycles of 4 weeks.
D013159,splenic infarction,
D054058,acute coronary syndrome,
D000787,angina pectoris,
D001145,arrhythmia,
D003324,coronary arteriosclerosis,
D054537,atrioventricular block,
D001919,bradycardia,
D002311,congestive cardiomyopathy,
D003331,artery coronary,
D008944,mitral valve incompetence,
D013610,tachycardia,
D013966,thyroiditis,
D012161,retinal artery,
D012170,retinal vein occlusion,
D003093,ulcerative colitis,
D004760,enterocolitis,
D020115,progastricsin,
D013276,gastric ulcer,
D006552,inguinal hernia,
D041741,lower gastrointestinal tract,
D050686,globicephala melaena,
D012185,retroperitoneal fibrosis,
10021328,ileus,
D041742,upper gastrointestinal tract,
D006547,hernia,
D006987,impaired sensation,
D007249,inflammation,
10025482,malaise,
D015529,congenital biliary dilatation,
D006502,budd chiari syndrome,
D002761,cholangitis,
D002769,cholelithiasis,
D011681,pupillary functions abnormal,
D018784,abdominal abscess,
D001228,aspergillus infection,
D016931,halobacteriales,
D002481,cellulitis,
D004238,diverticulitis,
D004886,erysipelas,
D005759,gastroenteritis,
D000072139,megavirales,
D015299,discitis,
D011024,viral pneumonia,
D011704,pyelonephritis,
10016173,fall,
D005265,femoral neck fracture,
10065879,gastrointestinal anastomotic leak,
D022125,laceration,
D000073818,procedural pain,
D017564,radiation pneumonitis,
D012253,rib fracture,
D017695,soft tissue injury,
D016103,spinal fractures,
10005630,blood lactate dehydrogenase increased,
D002097,c-reactive protein,
D005723,gammaglutamyltransferase,
D001051,apoenzymes,
D001168,polyarthritis,
D013130,spinal stenosis,
D013168,spondylolisthesis,
D009362,metastasis,
D009369,neoplasms,
D002292,renal cell carcinoma,
D000067571,balance sheet,
D002490,central nervous system,
D010291,hemiparesis,
D013474,sunstroke,
D056784,leukoencephalopathy,
D014474,loss of consciousness,
D000067836,hoarding disorder,
D006429,monoplegia,
D002546,ischemic attack transient,
D017114,liver failure acute,
D001449,balkan nephropathy,
D009846,oliguria,
D011470,benign prostatic hyperplasia,
D000081026,polyprenols,
D029424,chronic obstructive pulmonary disease,
D051270,primary exertional headache,
D010998,pleurisy,
D001261,pulmonary atelectasis,
D006945,hyperhidrosis,
D011565,pustular psoriasis of palms and soles,
D059408,pain management,
D054854,vertebroplasty,
D000959,antihypertensives,
D007238,infarction,
D007601,jugular veins,
D013350,subclavian vein,
NCT00687674,Sorafenib  Lenalidomide  and Dexamethasone in Treating Patients With Relapsed or Refractory Multiple Myeloma,
NCT00687674-1,Sorafenib + Lenalidomide + Dexamethasone,Description: No description found
D007970,leukopenia,
NCT00754923,Sorafenib in Treating Non-Smokers or Former Light Smokers With Relapsed or Refractory Stage IIIB or Stage IV Non-Small Cell Lung Cancer,
NCT00754923-1,Treatment: Sorafenib,Description: Sorafenib will be administered at a dose of 400 mg taken twice daily continuously on a 28 day cycle. sorafenib: administered orally at 400 mg taken twice daily  continuously on a 28 day cycle as an outpatient.
NCT00813293,Sorafenib Therapy Prior to Radiofrequency Ablation for Intermediate Sized Hepatocellular Cancer,
NCT00813293-1,Sorafenib,Description: Participants received a nine-day course of oral sorafenib 400 mg twice a day and radiofrequency ablation (RFA) on Day 10. Tumors in each group underwent RFA using a standard regimen (1 cm tip 70 ± 2º C 5 min). Sorafenib radiofrequency ablation
NCT00813293-2,Placebo,Description: Participants received a nine-day course of placebo pills twice a day and radiofrequency ablation (RFA) on Day 10. Tumors in each group underwent RFA using a standard regimen (1 cm tip 70 ± 2º C 5 min). radiofrequency ablation
D001664,biliverdine,
D001663,bilirubin,
NCT00815295,Study of Sorafenib/Cetuximab in Head and Neck Cancer,
NCT00815295-1,Phase 1 - Dose Level 1,Description: Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib 200 mg/m2 was administered orally twice daily.
NCT00815295-2,Phase 1 - Dose Level 2,Description: Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib 400 mg/m2 was administered orally twice daily.
NCT00815295-3,Phase 2,Description: Cetuximab was administered at the standard approved dose: 400 mg/m2 loading dose followed by 250 mg/m2 weekly. Sorafenib was administered orally twice daily at the MTD from Phase I.
D000080424,cytokine release syndrome,
NCT00825734,Phase I/II Trial of Sorafenib Plus Ixabepilone in HER2-Negative Metastatic Breast Cancer,
NCT00825734-1,Dose Level 1a,Description: Includes patients treated at the Phase II dose - Sorafenib PO BID (400mg) Ixabepilone IV every 21 days (32mg/m^2)
NCT00844883,Study of Sorafenib and Transarterial Chemoembolization (TACE) to Treat Hepatocellular Carcinoma,
NCT00844883-1,Sorafenib and Drug Eluting Beads,Description: single arm sorafenib: sorafenib: given 400 mg twice per day for as long as it is beneficial LC Bead-TACE: LC Beads loaded with doxorubicin Doxorubicin loaded LC Beads: given intra-arterially into the liver up to fours times in a 6 month period
D000069342,overmedication,
D003404,creatinine,
NCT00862082,Randomized Phase 1/2 Open-Label Trial of PR104 and Sorafenib in Patients With Advanced Hepatocellular Carcinoma (HCC),
NCT00862082-1,PR104 550 mg/m^2 + Sorafenib,Description: 550 mg/m^2 PR104 administered IV every 4 weeks + Standard dose sorafenib (400 mg PO twice daily)
NCT00862082-2,PR104 770 mg/m^2 + Sorafenib,Description: 770 mg/m^2 PR104 administered IV every 4 weeks + Standard dose sorafenib (400 mg PO twice daily)
D000389,air conditioning,
NCT00864032,Trial of Neoadjuvant Conformal Radiotherapy Plus Sorafenib for Patients With Soft Tissue Sarcoma of the Extremity and Body Wall,
NCT00864032-1,Sorafenib 200/200,Description: Dose level 1. Sorafenib 200 mg PO BID
NCT00864032-2,Sorafenib 200/400,Description: Dose level 2. Sorafenib 200 mg PO Q AM and 400 mg PO Q PM
NCT00875615,Cisplatin or Carboplatin and Sorafenib in Treating Patients With Liver Cancer That Cannot Be Removed By Surgery,
NCT00875615-1,Cisplatin or Carboplatin + Sorafenib,Description: Cisplatin : Cisplatin 60 m/m² via percutaneous intrahepatic (IA) artery infusion at the investigator's discretion. Treatment is given every 6 weeks for up to 12 Cycles. Sorafenib : Sorafenib 400 mg po bid daily starting on Day 1 (± up to 3 days) continuously. Carboplatin : Carboplatin AUC =6 at the investigator's discretion. Treatment is given every 6 weeks for up to 12 Cycles.
NCT00906373,A Study of IMC-A12 in Combination With Sorafenib in Participants With Advanced Cancer of the Liver,
