Disease code,Weight,Group,Group_Description,Study,Study_Name,D_Name
D009102,5.88,NCT00112671-1,Treatment (Sorafenib Tosylate),NCT00112671,Sorafenib in Treating Patients With Advanced or Metastatic Cancer of the Urinary Tract,multiple organ failure
10011914,5.88,NCT00112671-1,Treatment (Sorafenib Tosylate),NCT00112671,Sorafenib in Treating Patients With Advanced or Metastatic Cancer of the Urinary Tract,death nos
D064420,40.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,adverse drug events
10050068,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,edema limbs
D008231,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,lymphopenia
D058447,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,eye pain
D005767,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,functional gastrointestinal disorders
D000005,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,abdomen
D001065,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,appendix
D003643,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,death
D018450,15.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,disease progression
D003645,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,death sudden
10061229,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,lung infection
D001037,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,aphasia
D004417,10.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,breath shortness
D011030,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,pneumothorax
D012141,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,infections upper respiratory
D016769,5.0,NCT00126568-1,BAY 43-9006,NCT00126568,Sorafenib in Treating Patients With Advanced Anaplastic Thyroid Cancer,embolism and thrombosis
D064420,72.5,NCT00126594-1,Sorafenib Tosylate,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,adverse drug events
D064420,75.0,NCT00126594-2,Sorafenib Tosylate Recombinant Interferon Alfa-2b,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,adverse drug events
D003643,67.5,NCT00126594-1,Sorafenib Tosylate,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,death
D003643,72.5,NCT00126594-2,Sorafenib Tosylate Recombinant Interferon Alfa-2b,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,death
D010195,2.5,NCT00126594-1,Sorafenib Tosylate,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,pancreatitis
D001064,2.5,NCT00126594-1,Sorafenib Tosylate,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,appendicitis
D033461,15.0,NCT00126594-1,Sorafenib Tosylate,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,hyperuricemia
D033461,5.0,NCT00126594-2,Sorafenib Tosylate Recombinant Interferon Alfa-2b,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,hyperuricemia
10040139,2.5,NCT00126594-1,Sorafenib Tosylate,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,serum amylase increased
10024574,2.5,NCT00126594-2,Sorafenib Tosylate Recombinant Interferon Alfa-2b,NCT00126594,Sorafenib Tosylate With or Without Recombinant Interferon Alfa-2b in Treating Patients With Metastatic Kidney Cancer,lipase increased
D064420,55.91,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,adverse drug events
D002263,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,carboxyhemoglobin
D007037,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hypothyroidism
10000060,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,abdominal distension
D015746,19.35,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,abdominal pain
D001201,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,ascites
D003248,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,constipation
D003967,5.38,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,diarrhea
10013781,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,dry mouth
10055242,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,duodenal hemorrhage
10013832,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,duodenal perforation
D004381,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,duodenal ulcer
D006330,4.3,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,heart abnormalities
D005767,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,gastrointestinal disorder
10055291,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,intra-abdominal hemorrhage
10051746,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,lower gastrointestinal hemorrhage
10028130,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,mucositis oral
D009325,13.98,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,nausea
D012003,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,rectal fistula
10041101,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,small intestinal obstruction
10041103,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,small intestinal perforation
D014839,8.6,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,vomiting
D023341,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,chills
D018450,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,disease progression
10050068,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,edema limbs
D005221,16.13,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,fatigue
D005334,4.3,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,fever
10062466,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,localized edema
D002764,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,cholecystitis
10017638,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,gallbladder pain
D004066,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hepatobiliary disease
D006967,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hypersensitivity
10005047,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,bladder infection
10061351,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,pleural infection
D011014,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,pneumonia
D018805,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,sepsis
10040872,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,skin infection
10001551,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,alanine aminotransferase increased
10001675,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,alkaline phosphatase increased
10003481,4.3,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,aspartate aminotransferase increased
10005364,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,blood bilirubin increased
10011368,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,creatinine increased
D007958,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,leukocyte count
10025256,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,lymphocyte count decreased
10029366,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,neutrophil count decreased
D015430,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,weight gain
D015431,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,weight loss
D000471,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,alkalosis
D000855,10.75,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,anorexia
D001786,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,blood glucose
D003681,6.45,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,dehydration
D012709,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,serum albumin
D002118,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,calcium
D000255,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,adenylpyrophosphate
D011188,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,potassium
10040139,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,serum amylase increased
D012964,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,sodium
10040139,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,serum amylase increased
10040139,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,serum amylase increased
D018771,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,arthralgia
D001416,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,back pain
10006002,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,bone pain
D063806,6.45,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,myalgia
D019547,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,neck pain
10033425,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,pain in extremity
D004244,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,dizziness
D006261,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,headache
D003221,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,confusion
D007319,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,insomnia
D004417,6.45,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,dyspnea
D011014,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,pneumonitis
D012137,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,respiratory tract
10047681,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,voice alteration
D000505,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,alopecia
D060831,4.3,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hand-foot syndrome
10037847,4.3,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,rash acneiform
D005076,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,rash
D012871,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,skin and subcutaneous tissue disorders
10040947,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,skin ulceration
D013546,3.23,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,sweating
D005483,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,flushing
D006470,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hemorrhage
D019584,1.08,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hot flashes
D007022,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,hypotension
D013927,2.15,NCT00131911-1,All Patients,NCT00131911,Sorafenib Tosylate in Treating Patients With Progressive Metastatic Neuroendocrine Tumors,thrombosis
D064420,15.79,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,adverse drug events
D064420,15.91,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,adverse drug events
D003967,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,diarrhea
D004415,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,dyspepsia
D009325,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,nausea
D000005,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,abdomen
D010195,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,pancreatitis
D001037,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,logasthenia
D014552,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,urinary tract infections
D001219,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,serum glutamic-oxaloacetic transaminase
D008049,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,lipase
D003681,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,dehydration
D004039,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,diet low-sodium
D004039,4.55,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,diet low-sodium
10062572,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,generalized muscle weakness
D018771,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,joint pain
D001259,2.27,NCT00182689-2,Platinum Refractory,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,ataxia
D004244,2.63,NCT00182689-1,Platinum Sensitive,NCT00182689,Sorafenib in Treating Patients With Extensive Stage Small Cell Lung Cancer,dizziness
